"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Zhang Y.; Miao M.","Zhang, Yushuang (59378429800); Miao, Miao (59378352400)","59378429800; 59378352400","The Roles and Functions of Foreign Language Teachers of China in the Context of Generative Artificial Intelligence","2024","ACM International Conference Proceeding Series","","","","584","586","2","0","10.1145/3687311.3687415","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207064925&doi=10.1145%2f3687311.3687415&partnerID=40&md5=dee784235c348b1b90b417347ca05071","With the rapid development of Generative Artificial Intelligence (Generative AI) technology, its application in the field of foreign language teaching is becoming increasingly widespread, showing great potential for improving teaching efficiency and personalized learning in higher education. This paper discusses the application of Generative AI in foreign language teaching and analyzes teachers' roles and functions in this process. Teachers face challenges in adapting to this new technology, which calls for teachers to transform from authorities and disseminators of language knowledge to innovative designers, co-learner supporters, and navigators for future education.  © 2024 ACM.","Foreign Language Teaching; Generative Artificial Intelligence; Roles and Functions; Teachers","Adversarial machine learning; Contrastive Learning; Artificial intelligence technologies; Foreign language; Foreign language teaching; Generative artificial intelligence; High educations; ITS applications; Personalized learning; Role and function; Teachers'; Teaching efficiencies; Generative adversarial networks","Conference paper","Final","","Scopus","2-s2.0-85207064925"
"Qi W.; Liu M.; Li N.; Qu C.; Wang S.; Li Y.; Zhao M.; Liu C.","Qi, Wenqian (56609718000); Liu, Mengmeng (59523222100); Li, Na (59441687700); Qu, Chenfei (59522776400); Wang, Shaoqing (59523445300); Li, Yuanmeng (59523445400); Zhao, Mengyue (59523332400); Liu, Chao (59523445500)","56609718000; 59523222100; 59441687700; 59522776400; 59523445300; 59523445400; 59523332400; 59523445500","Introduction to the research on the path of generative artificial intelligence technology ChatGPT to help teachers' professional development","2024","ACM International Conference Proceeding Series","","","","568","573","5","0","10.1145/3700297.3700395","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215680873&doi=10.1145%2f3700297.3700395&partnerID=40&md5=d41b9443494dcbadfa29df202a4e2860","This research explores the application of ChatGPT, a generative artificial intelligence technology, in the field of education. ChatGPT, short for”generative pre-training, ” continuously evolves and adapts through user feedback, facilitating authentic human-machine interaction. It can process natural language input and generate relevant responses, thereby providing information and answering questions. The study highlights the potential of ChatGPT in university teacher education, where it can offer intelligent teaching assistance, personalized learning resources, and instructional support. However, the integration of ChatGPT also raises challenges, such as redefining the authority of knowledge and altering the dynamics of the teacher-student relationship. Some scholars contend that ChatGPT cannot replicate genuine emotions or free will, underscoring the irreplaceable nature of education. The transformative impact of ChatGPT on education demands a reevaluation of teachers' roles and professional development in the digital age. This study seeks to clarify the role of teachers within the digital transformation represented by ChatGPT and to explore strategies for successfully navigating this shift. Additionally, the research aims to assess teachers' perceptions and utilization of ChatGPT, address related challenges, and evaluate the feasibility, potential applications, and limitations of its integration into teaching. © 2024 Copyright held by the owner/author(s). Publication rights licensed to ACM.","ChatGPT; professional development; Teacher","Generative adversarial networks; Personnel training; Artificial intelligence technologies; ChatGPT; Human machine interaction; Natural languages; Pre-training; Professional development; Teacher professional development; Teachers'; University teachers; User feedback; Teaching","Conference paper","Final","","Scopus","2-s2.0-85215680873"
"Rush L.; Fogle E.; Eden S.; Urban A.D.; Tijare H.; Mooney S.","Rush, Libby (59483806200); Fogle, Eli (57194716425); Eden, Sarah (59484338700); Urban, Alexandra D. (57980871800); Tijare, Harshal (59483667600); Mooney, Shannon (59483530400)","59483806200; 57194716425; 59484338700; 57980871800; 59483667600; 59483530400","Generative Artificial Intelligence Driving More Efficient and Effective Course Optimizations","2024","DEMOcon 2024 - 2024 IEEE Digital Education and MOOCS Conference, Proceedings","","","","","","","0","10.1109/DEMOcon63027.2024.10747947","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212835566&doi=10.1109%2fDEMOcon63027.2024.10747947&partnerID=40&md5=8e79e791ff6d3bb8aa9b8d5b874208fb","The purpose of this study was to explore the efficacy of Generative Artificial Intelligence (GenAI) in optimizing online degree courses to enhance student retention and performance. Within the context of online learning platforms, there is a challenge in efficiently and effectively updating course content, which can impact the quality and relevance of the experience. The aim of this pilot was to utilize GenAI to create and augment educational resources, thus improving the clarity, scaffolding, and engagement of the online degree coursework. The methods employed in this pilot study included a quasi-experimental design where a Performance-Based Admissions (PBA) degree course was selected, its content was optimized using GenAI, and the impact was measured using a Difference-in-Differences (DID) analysis comparing optimized and non-optimized courses. The results indicate a 6% increase in course pass rates and significant improvements in midterm pass rates, average final grades, and the percentage of assignments submitted on time within the optimized course. Given these results, we estimate a 3% to 13% positive impact on second term persistence if all first-term courses received a similar GenAI optimization. The impact of this study is significant, demonstrating the potential of GenAI to revolutionize educational practices by providing quickly-produced, high-quality, low-cost content that enhances student learning outcomes. It supports the shift towards student-centered learning approaches and can be particularly beneficial in resource-constrained environments. In conclusion, the study underscores the transformative role of GenAI in education and emphasizes the need for ethical and responsible use to empower students and improve learning outcomes. © 2024 IEEE.","content optimization; degrees; GenAI; online teaching; performance-based admissions","Adversarial machine learning; Federated learning; Students; Content optimization; Degree; Generative artificial intelligence; Online degree; Online teaching; Optimisations; Pass rate; Performance based; Performance-based admission; Student retention; Contrastive Learning","Conference paper","Final","","Scopus","2-s2.0-85212835566"
"Castillo K.C.; Zarate Hernandez X.M.; Gazca Herrera L.A.; Garizurieta Bernabe J.","Castillo, Karina Culebro (59490175800); Zarate Hernandez, Ximena M. (57433229700); Gazca Herrera, Luis A. (57215345483); Garizurieta Bernabe, Jessica (57215342101)","59490175800; 57433229700; 57215345483; 57215342101","Study of perception on the use of generative artificial intelligence in higher-level students","2024","2024 IEEE International Conference on Engineering Veracruz, ICEV 2024","","","","","","","0","10.1109/ICEV63254.2024.10765939","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213295087&doi=10.1109%2fICEV63254.2024.10765939&partnerID=40&md5=00aea46ded95c71533f13af2a59a4bd7","Generative Artificial Intelligence (GAI) tools are advanced systems capable of generating content in formats such as text, images, or videos, which has been transforming fields such as education. However, excessive use of these tools may result in students not fully utilizing their own skills, thereby diminishing their critical thinking, analytical abilities, and information search skills. This research aims to study the perceptions of higher education students regarding GAI tools to assess their experiences with the usefulness of these instruments and their impact on learning. To achieve this, a non-experimental, comparative, descriptive research approach with a quantitative focus was employed, involving theoretical and conceptual processing. An instrument was designed to measure dimensions such as ethics, experience, usefulness, and quality. Finally, the results revealed that students use and understand basic concepts of GAI tools, recognize their limitations, and are thus familiar with them. The study also identified certain risks related to students' perception of these tools as substitutes for their teachers rather than as supportive aids and noted that they are perceived as potentially diminishing students' learning capacity. © 2024 IEEE.","generative artificial intelligence; Higher education; learning process","Adversarial machine learning; Federated learning; Generative adversarial networks; Students; Advanced systems; Artificial intelligence tools; Critical thinking; Generative artificial intelligence; High educations; Higher education students; Information search; Learning process; Research approach; Text images; Contrastive Learning","Conference paper","Final","","Scopus","2-s2.0-85213295087"
"Shanti J.","Shanti, J. (57226654058)","57226654058","Impact of Generative AI on Customer Experience and Personalization in Retail Sector","2025","Minds Unveiled: Exploring the Effects of Generative AI on Business Behavior","","","","188","196","8","0","10.4324/9781032711089-14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209003955&doi=10.4324%2f9781032711089-14&partnerID=40&md5=aea89a38b7f80b0b51c4a4044ebe265c","Generative artificial intelligence (AI) has emerged as a transformative technology with the potential to revolutionize the retail sector. This chapter explores the use of generative AI in various aspects of retail, including marketing strategies, customer engagement, and identifies potential areas for further development. The study will delve into natural language processing (NLP), machine learning (ML), and deep learning (DL) techniques used by retail companies, while evaluating the influence of generative AI on the retail landscape, delineating both its advantages and impediments to adoption. Additionally, the examination will delve into the challenges and opportunities associated with implementing generative AI within the retail domain. A thorough literature review is undertaken to synthesize insights from existing research on the subject, offering valuable findings for retailers aiming to leverage AI for enhancing customer experiences, streamlining operations, and gaining a competitive edge. © 2025 selection and editorial matter, Raul V. Rodriguez and Hemachandran K.","","","Book chapter","Final","","Scopus","2-s2.0-85209003955"
"Kaitharath M.F.; Shifna K.N.; Anuradha P.S.","Kaitharath, Mareena Francis (59386172100); Shifna, K.N. (59386172200); Anuradha, P.S. (57223294653)","59386172100; 59386172200; 57223294653","Generative AI and its impact on creative thinking abilities in higher education institutions","2024","Impacts of Generative AI on Creativity in Higher Education","","","","141","176","35","0","10.4018/979-8-3693-2418-9.ch006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207550436&doi=10.4018%2f979-8-3693-2418-9.ch006&partnerID=40&md5=b945a81f796a2fb014a8cecd074ef7d7","Generative AI technologies such as ChatGPT have started gaining increased popularity among higher education institutions. Students, as well as teaching professionals, can utilize these tools for various academic purposes due to the immense benefits they provide by way of customization of data generated and ease of access to data. However, this chapter seeks to analyze how such tools may impact students' creative thinking ability. It also analyses the drawbacks faced by teachers after implementation of such tools. The methodology adopted for the study was two surveys: one administered to gather students' opinions and the other for understanding teachers' perspectives. The analysis of the data collected shows that the over-reliance of students on such generative AI tools might hinder students' ability to think creatively to some extent. The chapter also suggests some of the strategies that can be adopted by teachers to ensure students' capabilities are assessed accurately. © 2024, IGI Global. All rights reserved.","","","Book chapter","Final","","Scopus","2-s2.0-85207550436"
"Ye J.; Wang S.; Tsai S.-B.","Ye, Jing (59230435700); Wang, Shuyang (58847229200); Tsai, Sang-Bing (55910203400)","59230435700; 58847229200; 55910203400","Impact of Generative AI on Enterprise Performance in China: Mediating Role of Managerial Relationships","2024","Journal of Global Information Management","32","1","","","","","1","10.4018/JGIM.347501","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199317548&doi=10.4018%2fJGIM.347501&partnerID=40&md5=7cc6bb9a231a57ebe3a4f0c147bfafcf","This study examines the impact of generative artificial intelligence (GAI) on Chinese enterprises. 320 participants completed electronic surveys, revealing a positive relationship between GAI and corporate performance. Managerial relationships were found to play a crucial role, mediating the influence of GAI on performance. Additionally, the speed of technological change in the industry was identified as a moderator, highlighting the dynamic nature of GAI's impact on managerial relationships and firm performance. These findings underscore the strategic importance of GAI in cultivating managerial relationships and improving enterprise performance, deepening our understanding of the integration of advanced AI technologies and management practices in the Chinese market. Practical implications are offered for decision-makers in technology-intensive industries, providing valuable insights for leveraging GAI to gain a competitive edge and achieve sustainable growth in a rapidly evolving technological landscape. © 2024 IGI Global. All rights reserved.","Artificial Intelligence Technologies; Chinese Enterprises; Corporate Performance; Generative Artificial Intelligence; Managerial Relationships","Decision making; Artificial intelligence technologies; Chinese enterprise; Corporate performance; Electronic survey; Enterprise performance; Generative artificial intelligence; Managerial relationship; Mediating roles; Performance; Technological change; Artificial intelligence","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85199317548"
"Ramagundam S.; Karne N.","Ramagundam, Shashishekhar (56315518700); Karne, Niharika (59371259000)","56315518700; 59371259000","Review on Revolutionizing Viewer Experience in the Role of Generative AI in FAST Platforms","2024","2nd International Conference on Self Sustainable Artificial Intelligence Systems, ICSSAS 2024 - Proceedings","","","","18","24","6","0","10.1109/ICSSAS64001.2024.10760469","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213315736&doi=10.1109%2fICSSAS64001.2024.10760469&partnerID=40&md5=19405d308799540fa57aed4b98f06f4a","Customer service is revolutionized by Generative Artificial Intelligence (AI), which improves the user experience through contextual awareness and natural conversations. The customized experience is provided by predicting the behaviour and needs of the customer via AI and predictive analysis. Semantic Communications (SC) and Generative Artificial Intelligence (GenAI) can be considered as the most significant contributions in this area. By infusing emergent qualities into machines, GenAI surpassed deterministic task-solving to produce inventive results. Customer Relationship Management (CRM) is widely used in industry and academia. It signifies an intelligent approach that is used by companies to monitor and assess their relationships with current as well as potential clients. With the help of GenAI, consumers of the Over-The-Top (OTT) content distribution approach associated with Free Ad-Supported Streaming Television (FAST) can access free linear television channels. Hence, this survey explains the exploration of revolutionizing viewer experience with GenAI using FAST platforms with a brief analysis of literature studies. Subsequently, the analysis followed by providing a chronological review of different GenAI models. It is a further exploration of dataset utilization, implementation tools, and so on. Lastly, the research challenges and gaps are provided for directing future trends. © 2024 IEEE.","Chronological Review; Free AdSupported Streaming Television; Future Trends; Generative Artificial Intelligence; Implementation Tools; Revolutionizing Viewer Experience","Generative adversarial networks; Public relations; Reviews; Video streaming; Chronological review; Customer-service; Deterministics; Free adsupported streaming television; Future trends; Generative artificial intelligence; Implementation tool; Revolutionizing viewer experience; Semantic communication; Users' experiences; Sales","Conference paper","Final","","Scopus","2-s2.0-85213315736"
"Qi Y.; Wang L.","Qi, Yuanyi (57190566192); Wang, Lamei (55273424900)","57190566192; 55273424900","Learning Assessment for Open Education Learners in the Era of Generative Artificial Intelligence","2024","ACM International Conference Proceeding Series","","","","38","44","6","0","10.1145/3678392.3678405","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204890216&doi=10.1145%2f3678392.3678405&partnerID=40&md5=1115b5485e54004f60d09b514d51ba30","Generative Artificial Intelligence (AI) tools are now used by students to do their learning assessment, thus impairing the value of such learning assessment. For open education learners who aim to just obtain adult education diplomas, particularly, the cost of learning assessment is becoming increasingly low due to the use of generative AI. How to instructional design and assessment for open education learners in the era of generative AI becomes therefore an issue requiring urgent solutions. From such perspectives as the advantages and disadvantages of generative AI, the learning needs and characteristics of open education learners, and the new characteristics of learning assessment with the use of generative AI, this paper examines the dilemma of instructional design and assessment during the age of generative AI, puts forward the ideas and models for the design of homework for open education learners, and makes learning assessment design proposals with respect to renewing the methods of learning assessment, improving the AI literacy of both teachers and students, etc., with a view to offering some insight for the design of homework in the era of generative AI.  © 2024 ACM.","Generative AI; Learning assessment; Open education learners","Adversarial machine learning; Federated learning; Generative adversarial networks; Self-supervised learning; Adult education; Artificial intelligence tools; Design proposal; Generative artificial intelligence; Instructional designs; Learning assessment; Method of learning; Open education learner; Open educations; Teachers'; Contrastive Learning","Conference paper","Final","","Scopus","2-s2.0-85204890216"
"Cordero J.; Torres-Zambrano J.; Cordero-Castillo A.","Cordero, Jorge (57147043600); Torres-Zambrano, Jonathan (57195329788); Cordero-Castillo, Alison (59526772800)","57147043600; 57195329788; 59526772800","Integration of Generative Artificial Intelligence in Higher Education: Best Practices","2025","Education Sciences","15","1","32","","","","0","10.3390/educsci15010032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215932280&doi=10.3390%2feducsci15010032&partnerID=40&md5=e24ad9160a05270e69ea7d0fe6fb2965","Generative artificial intelligence (GenAI) is transforming various sectors, including education. This study investigates the integration of GenAI in higher education, focusing on its potential to enhance teaching and learning. Through a series of workshops and courses delivered to university professors, it examines opportunities such as improved resource creation and challenges like ethical AI usage, proposing best practices for the sustainable implementation of GenAI in the classroom. The main objective is to analyze how the use of GenAI tools such as ChatGPT, Gemini, and Claude can improve teachers’ professional skills and the overall educational experience while ensuring ethical and responsible use. The methodology comprised a literature review and practical experimentation with university professors. Data collection involved observations, surveys, discussion forums, cooperative activities, and exercises focused on evaluating AI-generated educational resources and analyzing forum insights to identify best practices. The results highlight several opportunities around the use of GenAI in education, including improving writing, creating educational resources, supporting lesson planning, and increasing teacher productivity. In addition, significant challenges were identified, such as the ethical use of AI and strategies for detecting AI-generated text. For instance, workshops demonstrated a 30% increase in teacher confidence with GenAI tools like ChatGPT, highlighting the effectiveness of these technologies in professional development. To address these challenges, best practices for the responsible integration of GenAI in education are presented, focusing primarily on ongoing training, the establishment of institutional policies, the encouragement of responsible use, and the ongoing evaluation of impact in the educational setting. Best practices include clear ethical guidelines, prompt development techniques, and continuous professional training to ensure teachers can effectively and responsibly integrate GenAI tools into their instructional practices. These practices for the effective use of GenAI tools in education aim to maximize benefits while mitigating risks. These include the development of effective prompts for various activities and guidance on the ethical use of AI to ensure a balanced and responsible approach to the integration of GenAI in higher education. © 2024 by the authors.","ChatGPT; ethical use of AI; generative artificial intelligence; higher education; teaching and learning","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85215932280"
"Di Caro L.; Rapp A.; Torrielli F.","Di Caro, Luigi (57207954874); Rapp, Amon (23398572100); Torrielli, Federico (57226651161)","57207954874; 23398572100; 57226651161","GENERAL: GENerative, Explainable and Reasonable Artificial Learning","2023","ACM International Conference Proceeding Series","","","35","","","","0","10.1145/3605390.3610821","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173664695&doi=10.1145%2f3605390.3610821&partnerID=40&md5=2a1f43a6de811b324774272beb592c65","The GENERAL (GENerative, Explainable and Reasonable Artificial Learning) workshop, held at CHITALY 2023, delves into the advancements in General and Generative Artificial Intelligence (GGAI), with a focus on breakthroughs in natural language processing (NLP) and computer vision (CV). The workshop highlights the capabilities of Large Language Models (LLMs) and Latent Diffusion Models (LDMs) in generating human-like content across text and images. It emphasizes the importance of AI explainability, aiming to understand, explain, and control the complexities of these AI systems in terms of fairness, accountability, and transparency. The workshop encourages interdisciplinary collaboration across fields like HCI, psychology, social studies, and the arts to better understand AI's societal and cultural impacts. Topics of interest include user perceptions of generative AIs, machine psychology, AI assistants, ethical issues in Generative AI, and safety and control mechanisms for large language models.  © 2023 Owner/Author.","AI Explainability; Ethical Issues in AI; Generative Artificial Intelligence; Interdisciplinary Collaboration; Large Language Models","Artificial intelligence; Computational linguistics; Ethical technology; Learning systems; AI explainability; Artificial learning; Ethical issue in AI; Ethical issues; Generative artificial intelligence; Interdisciplinary collaborations; Language model; Large language model; Learning workshops; Natural languages; Natural language processing systems","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85173664695"
