Autores,Título,Fonte,Ano,Palavras-chave,Resumo,base
sh j;wang y,prerequisites for the innovation performance of artificial intelligence laboratory: a fuzzy-set qualitative comparative analysis,ieee transactions on engineering management,2024,Artificial intelligence (AI) laboratory;basic research;engineering breakthrough;innovation performance;qualitative comparative analysis (QCA),"Artificial intelligence (AI) is widely adopted as a general-purpose technology, bringing about disruptive innovative changes. R&D laboratories (labs) from universities, enterprises, and public institutions drive AI innovation. However, research on the factors affecting AI innovation in R&D labs is rarely discussed. To address this gap, we constructed an adjusted technology-organization-environment framework to analyze different configurations that influence AI basic research and engineering breakthroughs. This article uses fuzzy set qualitative comparative analysis for analysis aimed at 43 international typical AI labs. The results indicate that technological, organizational, and environmental conditions jointly impact AI labs' innovation. Specifically, AI basic research depends on strong computing resources and a high-quality innovation ecology, and it is moving from academia to industry. AI Engineering breakthroughs rely on public R&D institutions and leading firms, and high-quality data has a significant impact on applications. The findings highlight the equivalent effect of different configurations in AI innovation. In addition, this study provides implications for the government's AI innovation policies and the technological management of AI labs.",ieee
alba m;khalifa m,the role of artificial intelligence applications in achieving competitive advantage for business organizations - challenges and proposed solutions,2024 asu international conference in emerging technologies for sustainability and intelligent systems (icetsis),2024,Artificial Intelligence;Robotic Learning;Competitive Advantage of Business Organizations,"The main principle of AI is to simulate and go beyond the way humans understand and interact with the world around us, which has quickly become the cornerstone of innovation. Artificial intelligence improves the performance and productivity of institutions by automating processes or tasks that previously required human strength, and the emergence of solutions and tools that rely on artificial intelligence means that more companies can benefit from artificial intelligence at a lower cost and less time. Hence, the adoption of competitive advantage (CA) is one of the most significant challenges for business organization management because of the urgent need to acquire a competitive advantage, depending on the extent to which the industrial sector can create a good working environment and formulate a strategy that supports innovation and its ability to respond to scientific progress and possess good knowledge and skills to achieve excellence in the internal and external environment. Therefore, the current research aimed to systematically analyze the scientific literature related to the application of artificial intelligence and machine learning (ML) in industry to achieve competitive advantage in business organizations. It has been shown that artificial intelligence has a positive impact on achieving competitive advantage in business organizations, and the research relied on The descriptive analytical approach to determine the framework to develop the proposed framework to clarify the relationship between artificial intelligence and competitive advantage in business organizations. An analysis of the literature on artificial intelligence and the competitive advantage of business organizations has been used to answer the main question of research: what is the role of artificial intelligence applications in achieving the competitive advantage of industrial business organizations?",ieee
li y;li z,application analysis of artificial intelligence technology in brand marketing strategy,2021 international conference on forthcoming networks and sustainability in aiot era (fones-aiot),2021,Artificial Intelligence;Brand Marketing;Channel Sales;Marketing Model,"In the era of economic globalization and informatization, enterprises are facing increasingly fierce competition. The single use of traditional marketing methods by enterprises is not enough to cope with the tremendous changes brought about by informatization and globalization. If an enterprise wants to be in an advantageous position in the competition, it must adapt to changes in the surrounding environment and adjust its strategy to adapt. The development of big data in the Internet age has made artificial intelligence technology more and more mature. It has been applied to many areas of society. With the advent of the information age, brand marketing has inevitably entered the era of intelligence. The development and application of the network have made the original The traditional marketing model is no longer applicable, so that it began to develop and transform to the Internet network marketing. The purpose of this article is to study the application of artificial intelligence technology in brand marketing strategies. Based on this, this article analyzes the impact of artificial intelligence technology on marketing based on the analysis of the related concepts and theories of artificial intelligence technology and network marketing. In a nutshell, artificial intelligence technology not only affects brand marketing strategies to a certain extent, but also has an impact on the market. As the physical carrier and foundation of various new functions in the information age, artificial intelligence technology occupies an unparalleled position in the development of corporate marketing. Research shows that in recent years, the retail sales of smart marketing channels have slowly increased in total. Tmall’s sales have increased by about 10%, while the traditional marketing model has been declining year by year. It can be seen that the new the marketing channels of the era combined with artificial intelligence are gradually being recognized and used by people, and the market share of traditional marketing channels is decreasing.",ieee
mohamed n,ddos attacks mitigation: a review of ai-based strategies and techniques,2024 15th international conference on computing communication and networking technologies (icccnt),2024,Artificial Intelligence (AI);DDoS Mitigation;Cybersecurity;Machine Learning Algorithms;Network Security,"In the evolving landscape of cyber threats, Distributed Denial of Service (DDoS) attacks represent a significant challenge for online infrastructure security. This review paper delves into the efficacy of Artificial Intelligence (AI)-based strategies and techniques in mitigating DDoS attacks. It synthesizes current research and developments in the field, emphasizing the adaptability and resilience of AI methods against the dynamic nature of these attacks. The paper categorizes various AI approaches, including machine leaming algorithms, deep learning frameworks, and heuristic methods, analyzing their strengths and limitations in real-world scenarios. Additionally, it explores the integration of AI with traditional security protocols to enhance defense mechanisms. Through a comprehensive examination of case studies and experimental results, this paper highlights the transformative impact of AI in detecting, analyzing, and neutralizing DDoS threats, thereby offering valuable insights for researchers and practitioners in cybersecurity. The review concludes with a discussion on future trends and potential research directions, underscoring the importance of continuous innovation in AI technologies to combat the evolving sophistication of DDoS attacks.",ieee
khalif m;nageab w m,use of three-dimensional maps in the study of the political geography course as one of the applications of artificial intelligence,2024 asu international conference in emerging technologies for sustainability and intelligent systems (icetsis),2024,Algorithms;Artificial Intelligence;Three-Dimensional Maps,"In recent years, Geospatial Information Systems (GIS) have witnessed a significant shift towards smart spatial analytics, which involves the processing of large volumes of geographic data, known as big geographic data (Geodata Big). This processing and analysis enable the extraction of valuable information that can be utilized in decision-making processes. Smart maps, as geographic information platforms, play a crucial role in decision-making by providing data, statistics, and information about geographic features and phenomena. Three-dimensional maps offer the capability to visualize and analyze geographic and temporal data on Earth's surface or custom maps. They enable users to observe changes over time and create interactive visual tours that can be shared with others. The applications of smart maps are diverse and include surveillance, monitoring, navigation, and determining optimal routes to specific locations. Artificial-Geo intelligence (AI-Geo) applications have further enhanced GIS capabilities by utilizing intelligent models trained on various datasets. These models enable the identification and extraction of geographic phenomena from satellite imagery, aerial photographs, and other sources. AIGeo applications have found utility in numerous domains beyond mapping, providing valuable insights and facilitating decision-making processes. This abstract highlights the growing importance of smart spatial analytics in GIS, particularly through the use of smart maps and AI-Geo applications. By leveraging these technologies, organizations can harness the power of geospatial data to make informed decisions and gain deeper insights into geographic phenomena.",ieee
zhang h,exploring the impact of ai on human resource management: a case study of organizational adaptation and employee dynamics,ieee transactions on engineering management,2024,Artificial intelligence (AI) in human resource management (HRM);employee dynamics;employee job satisfaction;employee productivity (EP);organizational adaptation;recruitment efficiency (RE),"This study investigates the transformative impact of artificial intelligence (AI) on human resource management (HRM) practices through a quantitative descriptive approach. Data were collected from 285 employees and 144 HR professionals across seven organizations using purposive sampling to explore AI's influence on recruitment, performance assessment, job satisfaction, and workforce planning. A key novelty of this research lies in its comprehensive analysis of AI's holistic influence on HRM dynamics, going beyond isolated aspects of AI implementation. Findings reveal that organizations leveraging AI in HR processes experience significantly higher recruitment efficiency and employee productivity compared to those without AI integration. Moreover, successful adaptation to AI in HR correlates with increased levels of employee job satisfaction and reduced turnover rates, highlighting AI's potential to enhance organizational performance and employee well-being. Additionally, positive perceptions of AI in HR positively correlate with elevated levels of organizational trust and employee engagement. These insights contribute to a nuanced understanding of AI's role in reshaping HRM strategies and fostering a supportive workplace environment conducive to sustainable organizational success. Practical implications are discussed to assist HR professionals and organizational leaders in effectively harnessing AI to optimize HR practices and adapt to evolving workforce dynamics.",ieee
al a;kha m a;fari k;akba s s;ilya a;ghaza t m;hamadi h al,the effect of artificial intelligence on cybersecurity,2023 international conference on business analytics for technology and security (icbats),2023,threats;state and non-state actors;cybersecurity;artificial-intelligence;globalization,"Cyber-attacks present a greater threat to individuals and the security of the modern state in the globalized world. Artificial intelligence offers several tools that can be used to improve cybersecurity. Throughout this article, we can observe many benefits and disadvantages of artificial intelligence in cybersecurity at national and international levels. Artificial intelligence makes new opportunities for value creation in businesses, sectors, societies, and the public possible. Research has shown that technology is important in many facets of life. This reason has contributed to its incorporation in many enterprises and sectors. The uses of AI are too many to list. The following study looks at how artificial intelligence (AI) is used in cybersecurity. A developing idea in the technological sector is cybersecurity. Information technology has been incorporated into many enterprises. Public and private companies and organizations have had to demand stronger security measures because of this problem. Cyberspace has expanded in response to the need to secure not only personal data but official info as well as technology that is presently accessible. AI was already observed to impact cybersecurity on a broad scale significantly. Because of this, machine learning has been strongly incorporated into modern cybersecurity-related technology. The research study does a literature review and investigates the general effects of AI on cybersecurity.In our results, we have obtained positive findings in attacks with artificial intelligence and have found certain results when obtaining information on attacks using AI. In conclusion, it is necessary to advance in artificial intelligence since the increasing volume and complexity of attacks at the international level require more resources to face them. Cybercriminals will also use artificial intelligence to attack individuals, state infrastructure, and systems.",ieee
singl l;nandrajo a b;sing n;ahuj k;mehta s,ai and consumer behavior: innovations in marketing strategy and consumer engagement,2024 15th international conference on computing communication and networking technologies (icccnt),2024,Artificial Intelligence;Consumer Behaviour;Social Media;Chatbots;Marketing Models;Digital Marketing,"This study paper focuses on the groundbreaking impact of artificial intelligence on customers and marketing techniques. The study uses quantitative data, including analysis of social media analytics and any information from the customers on the social media platform, the results from the AI market research tools, and lastly, analysis of case studies from the industry. The statistics studies prove the effectiveness of AI’s integration into the marketing sphere and the improvements in its outcomes. Regarding the effectiveness of AI-led promotion, it was found that ‘ads placed using AI had a 25 per cent increase in click-through rates compared to the traditional models. Using the chat bots enhanced the general customer satisfaction level, which improved from 69.85 to 84. 89. These results point out how AI seems to improve people’s level of engagement or happiness and how it can offer deeper and more accurate customer insights and more specific marketing encounters. The paper examines the use of AI in segmentation and targeting. It reveals how the technology could revolutionize marketing procedures by enabling the right identification and management of valuable customer segments. The article also outlines the limitations in the current marketing activities and some ideas for further research, including a shifted ethical use of AI and AI in developing countries. This study, therefore, brings important findings to the existing literature about how knowledge of AI’s role in DM can aid in improving marketing strategies during digital transformation. Managers are encouraged to adopt new technological inventions to warrant fairness and accomplishment within their organizations.",ieee
a m al samma;mohamed a,"artificial intelligence, organizational justice and organizational trust: towards a conceptual framework",2024 asu international conference in emerging technologies for sustainability and intelligent systems (icetsis),2024,AI;Artificial Intelligence;Organizational Trust;Organizational Justice;Conceptual Framework;AI Adoption;AI Competencies;Cognitive Trust in AI,"The aim of this study is to construct a conceptual framework that studies the complicate interaction between Artificial Intelligence, Organizational Justice and Organizational Trust. By using the Meta-Analysis methodological approach, we seek to analyze and synthesize the current literature with the aim of outlining the relationship between adopting Artificial Intelligence, aspects of Justice seen by stakeholders, and trust dynamics within organization. We proposed a paradigm in a trial to reveal the interconnections among such dimensions through the combination of empirical evidence and the theoretical underpinnings, outlining the significant insights of scholars and practitioners who navigated the AI driven work environments.",ieee
bhat c;sing s;chauha r;sing t;uniyal a,"artificial intelligence in current education: roles, applications & challenges",2023 3rd international conference on pervasive computing and social networking (icpcsn),2023,Artificial Intelligence;Human Computer Interaction;Cognitive abilities;Adaptive Learning,"This review was undertaken to measure what effects the artificial intelligence has had on the modern-day education. AI is a field that includes machines along with the features of human intelligence features such as adaptability, learning abilities, cognitive abilities, and decision-making abilities. The result of this study is that AI is widely applied and used in various ways in education, especially in educational institutions. The inception of AI was in the form of computers which evolved into use of humanoid robots and web chatbots that individually performed the tasks and functions of instructors and used integrated computer systems along with other technologies or a trainer with them. With the help of these platforms, teachers were able to perform a host of administrative tasks like improving the quality of educational activities by conducting research and made the evaluation of student challenges more efficient and effective. Meanwhile, the system incorporates machine learning to ensure that the curriculum is tailored and personalized to an individual's need, fostering acceptance and retention, improving the learning experience, and augmenting the overall learning quality.",ieee
mohamed n,renewable energy in the age of ai: cybersecurity challenges and opportunities,2024 15th international conference on computing communication and networking technologies (icccnt),2024,Renewable Energy Systems;Artificial Intelligence (AI);Cybersecurity Microgrid Management;Decentralized Energy;Sustainable Development Goals (SDGs),"In the quest for sustainable energy solutions, the integration of Artificial Intelligence (AI) and cybersecurity within renewable energy systems, particularly microgrids, is increasingly pivotal. Our review offers a critical examination of the challenges and advancements in AI-based energy management to achieve the United Nations Sustainable Development Goals (SDGs), focusing on SDG7, SDG11, and SDG13. We delve into the limitations and potential pitfalls of current AI and cybersecurity approaches in renewable energy, categorizing microgrid issues into optimal power flow, peakshaving, and optimal network configurations. Our discussion extends to the promise and constraints of metaheuristics, reinforcement learning, and blockchain technology for decentralized energy management and cybersecurity, highlighting the need for a nuanced understanding of these technologies’ environmental impacts and ethical considerations. Through detailed analysis of various case studies, we scrutinize the specifics of system size, grid connectivity, and the types of AI/cybersecurity measures implemented, enhancing their generalizability and applicability. This review synthesizes findings from 20 research studies, providing a comprehensive perspective on the synergistic role of AI and cybersecurity in advancing renewable energy systems while critically evaluating the field’s current state and suggesting directions for future research, policy, and industry practices. By explicitly linking these findings to the achievement of the SDGs, we underscore the importance of high-resolution, accurately cited images to convey our message effectively and advocate for the thoughtful integration of AI in renewable energy systems to ensure their secure, efficient, and sustainable operation.",ieee
dha s;shya h s;toma s;rani m,digital disparity in the technological era of big data and artificial intelligence,2023 9th international conference on advanced computing and communication systems (icaccs),2023,Big Data;Artificial Intelligence;Digital Disparity;Sustainable Development Goals;Teaching;Learning;Learning Outcomes,"The following study is based on a research position which explicitly provides an assessment of the digital disparity faced by educational institutions of higher education in developing countries. The intention behind the disparities in three parameters – discourse, policy and sector are provided. Understanding the different approaches, there is a need for an inter-disciplinary study in future endeavours where direct observation and face-to-face interactions which educational institutions of developing regions can provide an in-depth analysis behind the presence of such discrepancy or disparity. The outcomes of the research, as a part of a positional study, helps in understanding the impact of unawareness, lack of educational development and absence of collaboration between educational administrations and institutions which have caused a distinctive disparity in the era of big data and artificial intelligence.",ieee
choudhar h;pandita d,optimising employee referral programs: a comprehensive artificial intelligence-based approach,2024 asu international conference in emerging technologies for sustainability and intelligent systems (icetsis),2024,Artificial Intelligence;Employee;Employee Referrals;HR Managers;Recruitment,"The study investigates how using artificial intelligence (AI) in employee referrals can revolutionise the hiring process and improve candidate quality by coordinating technology innovations with organisational objectives. AI hiring facilitates developing and managing networks of committed workers that meet business requirements. The primary means of gathering information involved conducting focused group discussions. Content and thematic analyses were applied to responses from 21 focused groups comprising four to six managers each, targeted explicitly at HR Managers in various organisations. The study sourced data primarily from Pune city in India. The derived conclusions result from a comprehensive examination of existing literature and engaging in focused group discussions with HR Managers. This research paper presents a comprehensive Agile-AI Referral Optimization Framework (AROF) for implementing and advancing AI-based employee referral systems. In a rapidly evolving employment landscape, this conceptual framework is a practical guide for organisations seeking to leverage AI, optimise recruitment outcomes, and foster a positive work environment conducive to sustained success.",ieee
krishn s h;pattnai m;pati a;k t v ra;mud i;saravanan s,artificial intelligence influence on accounting methods,2022 5th international conference on contemporary computing and informatics (ic3i),2022,Artificial Intelligence Influence;Accounting Methods;Finance Leaders;Application,"Due to its benefits in terms of enhancing and redefining the actual manner of performing activities in this field, artificial intelligence is swiftly changing the reality of the accounting business. Accounting has seen a significant transformation over the years as computers, first and foremost, and more importantly, developers ready to spend less time on laborious work that minimises the amount of errors, have replaced the job done with paper and pencil. Although there has always been a fascination with artificial intelligence systems in this field, attention has recently shifted more toward it. Although technology has advanced, it seems that there aren’t enough facts to back up businesses’ readiness to include artificial intelligence systems into their accounting procedures. A crucial element of this reality is also the ability of professionals to quickly adjust to the new business climate, get the skills required to work with AI systems, and overcome their fear of losing their jobs. The requirements of the financial society, the quick development of data innovation, and artificial intelligence have brought about the modern era. Implementing artificial intelligence innovation is an unavoidable trend that will result in substantial changes and advancements in the accounting sector. In this essay, the usage of AI in the accounting industry is examined, its effects on the sector’s expansion are examined, and significant solutions to current issues are suggested.",ieee
pande a s;sharm y;tiwar a;chauha r;tyag s;kumari j,ethical implications of ai-powered communication tool,"2024 international conference on communication, computer sciences and engineering (ic3se)",2024,Artificial Intelligence;AI Regulation;Ethics;Law;India,"Everyday life and technology have been profoundly affected by artificial intelligence (AI), which has brought about revolutions in both. Topics covered include algorithmic prejudice, privacy issues, and the effects on jobs, as well as AI's dual role as an ally and an opponent. Data privacy and artificial intelligence ethical laws are two areas where India is exerting strong influence. The impact of Indian culture and society on these ethical dilemmas caused by AI is the primary subject of this study. Privacy, prejudice, and social standards are among of the topics covered, along with the pros and cons of AI. A comparison of the regulatory frameworks in India shows that different approaches face similar problems, such as the need for flexible and inclusive rules.",ieee
cort v d;gaudi g d;sep f;luong s;crisci a,"the adoption of artificial intelligence technologies in the era of ""grey tsunami"": prospects and challenges","2022 ieee international conference on metrology for extended reality, artificial intelligence and neural engineering (metroxraine)",2022,artificial intelligence;TAM;SEM,"The aim of this paper is to investigate the potentiality of the use of Artificial Intelligence (AI) robots in social groups and specifically the antecedents that impact on either senior citizens’ willingness or objection to use Artificial Intelligence robots. In order to explore what are the antecedents of senior citizens’ acceptance or rejection towards the use of AI robots in the context of senior living facilities, this paper proposes a revisited Technology Acceptance Model. The model is analyzed using SEM to test the hypotheses and to check the loading of each factor. The paper shows important theoretical implications as well as for the decision makers of elderly care and for the whole society.",ieee
alshuride m t;zakarne b;hamadne s;ahme g;paramaia c;alzoubi h m,artificial intelligence in identifying market opportunities: revolutionizing entrepreneurial strategy and innovation,2024 2nd international conference on cyber resilience (iccr),2024,Artificial Intelligence;Market Opportunities;Entrepreneurial Strategy Development;Market Volatility,"This study focuses on how Artificial Intelligence (AI) affects market analysis and the exploring of market possibilities, in the Abu Dhabi hospitality industry. The study also examines how effective entrepreneurial strategies mediate this relationship while considering the influence of market volatility. To gather data a quantitative research method is used with 221 participants from the Abu Dhabi hospitality industry in the UAE. The research model is evaluated using Structural Equation Modeling (SEM) through SmartPLS 4.0 allowing for an analysis of the proposed connections. Initial data analysis suggests that utilizing AI in market analysis has an impact on identifying market opportunities. Additionally, the study finds that effective entrepreneurial strategy development acts as a mediator in this relationship meaning that the positive effects of AI are partly explained by how well entrepreneurial strategies implemented. Moreover, market volatility plays a moderating role, in influencing how strongly AI utilization relates to discovering market opportunities.",ieee
anura;das p,ai technology minimizes the need for manual labour and potentially displaces workers from jobs,2023 3rd international conference on technological advancements in computational sciences (ictacs),2023,Artificial Intelligence;Ethical;Potential;Labor;Jobs;Workplace;Analysis,"The advancement in technology related to artificial intelligence, or AI, has been a hot topic of debate in recent years. One concern is the possibility of job loss when machines with algorithms take over tasks that formerly required human labour. It analyses the implications of artificial intelligence technologies on the job market, paying particular attention to how it can decrease the demand for physical labour and perhaps oust employees from their professions. The distribution of wealth, salaries, efficiency, and job abilities are all areas where AI has the capability to have a significant impact. The paper also looks at the ethical implications of AI, such as how it will impact privacy, bias, and decision-making. The study outlines the potential dangers and benefits of AI on work and provides insights for policymakers and stakeholders to lessen adverse effects and realize the potential benefits of AI through a thorough analysis of the available literature and case studies. The study concludes that AI can change how work is done and that proactive steps must be taken to solve potential problems and take full advantage of the opportunities that AI presents. Overall, the present study provides an in-depth knowledge of how AI will impact the workplace, placing a strong focus on the potential for job displacement and creation, the impact on salaries and output, and the need for ethical considerations.",ieee
malviy b;othma b;saxen k;shailmadhu;vika;almashaqbeh h a,an empirical analysis in measuring the impact of artificial intelligence for better marketing communication to the end-users effectively in the digital era,2022 2nd international conference on advance computing and innovative technologies in engineering (icacite),2022,“Artificial Intelligence or AI”;digital communication;marketing;techniques;technologies;marketers,"“Artificial Intelligence or AI” has allowed businesses to have a deeper understanding of their clients and address them more accurately with customized digital messaging. As a result, a growing number of financial service companies are incorporating AI into their operations. “Artificial Intelligence Marketing (AIM)” is a strategy for improving customer satisfaction by maximising the use of information and technology. “Big Data Analytics”, “deep learning”, and collecting intelligence about the functional analysis of clients are some of the approaches employed to achieve this goal. As a result of these actions, this period has been dubbed “The AI Marketing Concept,” which needs a fundamental transformation in the way marketers interact with their customers and develop strategies to achieve their objectives. Examining some of the ways that “artificial intelligence (AI)” can assist merchants to alter marketing techniques and achievements in the future. Based on the primary and secondary analysis, researchers have collected data regarding the impact of artificial intelligence for creating better communication to end users.",ieee
isla a;al r;sing g;isla b;isla a;hossain s,an evaluation of ai-enhanced collaborative learning platforms,"2024 international conference on communication, computer sciences and engineering (ic3se)",2024,Artificial Intelligence;Education;Personalized learning;Collaboration;Community engagement;Noble Recognition System;Machine Learning,"The integration of Artificial Intelligence in Education is rapidly reshaping learning methodologies and educational dynamics. While AI technologies like intelligent tutoring systems and automated assessment tools enhance personalized learning experiences, concerns about overreliance on AI and the diminishing role of human interaction in education have emerged. In response, few platforms are emerging to bridge the gap between AI-driven recommendations and human collaboration, fostering peer-to-peer learning experiences. This paper proposes a noble platform aimed at facilitating collaborative learning and skill-sharing among learners. The envisioned platform prioritizes community building and inclusivity, offering features such as online sessions, chat functionality, and a reward system to incentivize active participation. Leveraging AI-driven recommendation systems, the platform aims to connect learners with complementary skills, fostering meaningful collaborations and knowledge exchange. Additionally, initiatives like the Noble Recognition Program aim to acknowledge and celebrate positive contributions from community members. By emphasizing community engagement, personalized learning experiences, and a balance between AI-driven recommendations and human interaction, the proposed platform seeks to revolutionize online education and empower learners in the digital age.",ieee
tyag p kumar;sing v jit;sing a kumar;saxen a;tyag p;mehta p,the impact of artificial intelligence-based human resource management systems on organizational efficiency,"2023 10th ieee uttar pradesh section international conference on electrical, electronics and computer engineering (upcon)",2023,Artificial Intelligence;Human Resource Management Systems;Organizational Efficiency;Recruitment;Employee Engagement,"The transformative impact of AI-based HRMSs (artificial intelligence-based human resource management systems) on the effectiveness of organizations has been examined in this empirical paper. Artificial Intelligence (AI) is revolutionizing workforce management in today's dynamic business landscape. It is transforming functions like employee engagement, performance management, the onboarding process, recruitment, as well as workforce planning. By streamlining HR procedures, AI-HRMS enables automation, and predictive analytics, in addition to data-driven decision-making. The study illustrates the benefits of AI-HRMS with case studies and statistical analysis. By automating the screening of candidates and anticipating job success, these systems strengthen the efficiency of recruitment. Personalized plans and real-time support speed up employee onboarding and increase fulfillment. AI-HRMS uses personalized development plans, automated forecasting, and task automation to increase employee engagement and retention. Continuous improvement is promoted and worker contributions are matched with organizational objectives through data-driven performance management. The paper highlights challenges as well as successful implementations in companies such as Siemens, Unilever, IBM, as well as others. Careful consideration is needed for data privacy, opposition from staff members, system integration, and potential bias. Organizations can fully utilize AI-HRMS by triumphing over these obstacles, bringing in improved prospects for HR administration and organizational effectiveness.",ieee
nosiro i;yormato i;yuldashev n;avulchayeva f,ai and corporate sustainability: exploring the environmental and social impacts of ai integration,2024 international conference on knowledge engineering and communication systems (ickecs),2024,Artificial Intelligence (AI);Corporate Sustainability;Environmental and Social Governance (ESG);Sustainability Challenges;Responsible AI Integration,"The integration of Artificial Intelligence (AI) within corporate sectors has ushered in a transformative era for sustainability practices, redefining environmental and social governance (ESG) strategies. This comprehensive survey explores the multifaceted impacts of AI on corporate sustainability, examining both the potential benefits and challenges. By leveraging diverse AI technologies such as machine learning, natural language processing, and robotics, companies can enhance their sustainability efforts through improved efficiency, reduced waste, and innovative solutions to complex environmental problems. However, the deployment of AI also presents significant challenges, including energy consumption, ethical considerations, and the socio-economic implications of automation. Through a detailed analysis of current technologies, this paper employs mathematical expressions to quantify the environmental benefits of AI integration, including algorithms that optimize resource use and reduce carbon footprints. Comparative results highlight the effectiveness of various AI applications in achieving sustainability goals, supported by graphs and statistical analysis. Moreover, the study delves into case studies of successful AI implementation in sectors such as energy, manufacturing, and waste management, providing a holistic view of AI’s role in promoting corporate sustainability. By balancing the technological advancements with ethical and environmental considerations, this survey underscores the critical need for responsible AI integration in the pursuit of a more sustainable and equitable corporate future.",ieee
jian x;jian x;su w;fan w,how do manufacturing firms manage artificial intelligence to drive iterative product innovation?,ieee transactions on engineering management,2024,Artificial intelligence (AI)-driven innovation;iterative product innovation;managing AI;stakeholder interaction,"In this article, we attempt to investigate how manufacturing firms can effectively manage artificial intelligence (AI) to deal with the tension posed by both the opportunities and risks associated with AI applications to drive iterative product innovation. We present empirical insights from three cases involving a typical Chinese manufacturing firm engaged in AI-driven iterative product innovation. We followed our sample firm for 12 months, relying on interviews, observations, and external archival data to collect rich data about its innovation process, and conducted text coding and text analytics to gain insights into the data. Our findings reveal that AI provides opportunities for broad, deep, and agile stakeholder interactions with the support of AI-enabled interactive digital platforms, intelligent manufacturing, and intelligent machines. During this process, risks emerge around data leakage, over-reliance on online intelligence decision-making, and unpredictable AI behaviors. Manufacturing firms need to manage AI by focusing on key principles relating to formulating guidelines for data management, integrating offline decision-makers’ experience into online intelligence analysis, and establishing management standards for intelligent devices. We combine these insights into a framework to illustrate how manufacturing firms manage AI to facilitate progress in iterative product innovation.",ieee
alrashee r;al-mhasne k;khalif m;al-arqa a;aldad a;almarri m,the ethical and political impact of artificial intelligence decisions on the news production process in media and journalism,2024 international conference on decision aid sciences and applications (dasa),2024,News Production;Journalism;Subjectivity;Artificial Intelligence;Media;Journalistic Ethics;Media Accuracy,"The current study delves thoroughly into popular opinions and attitudes regarding the use of artificial intelligence in Arab journalism, given the pervasive effect of artificial intelligence on media and journalism. We aim to respond to several critical inquiries from academics, the artificial intelligence community, and the journalism sector. The public's current knowledge, feelings, concerns, desires, and expectations regarding artificial intelligence in the media sector were investigated through an online poll. It was discovered that the audience was well aware of how artificial intelligence is being used in journalism and other media, with the most familiar component being the description of certain news items that use artificial intelligence. One of the most important results of this study is that the public prefers to use artificial intelligence in news report format more than in creating news or media content. In terms of a variety of media content and news creation procedures, the people had varying preferences. Lastly, most people said that in future news production, human review and artificial intelligence modes should work in tandem.",ieee
chen j;lu h;li w;hu g,pros and cons of artificial intelligence—lessons from e-government services in the covid-19 pandemic,2021 2nd international conference on artificial intelligence and education (icaie),2021,artificial intelligence;e-government;public service delivery;public health emergency;pandemic,"How to understand the role and impact of information technology and artificial intelligence has triggered a big debate. To explore the pros and cons of artificial intelligence and its applications, this article takes the face mask distribution programs in the COVID-19 pandemic as research objects, conducting a multi-case comparative study of three cities in China. By manual coding of a total of 4560 We Chat official account messages, and by analyzing information related to the distribution process, it was found that: (1) On the demand side, the task complexity, the demand diversity, and the unstructured decision-making process in the public health emergency have exposed some limitations of AI in data collecting and unstructured problem-solving. (2) On the supply side, the procedural and substantive rules designed, together with the reliability of an AI system, will shape the performance of the AI service channel. (3) Though AI and other new technologies are advancing drastically in the pandemic, there is still much room for improvement whether by the optimization of AI systems, or by political control and social participation, and by the supplement of alternative channels such as the community service delivery.",ieee
krishn s h;aljohan n;mishr d;gar n;verm v;malathy v,applications of artificial intelligence in public sector and its challenges,"2023 4th international conference on computation, automation and knowledge management (iccakm)",2023,Public sector;AI;AI challenges;AI application,"A series of technologies collectively referred to as artificial intelligence (AI) “give intelligent computers the ability to learn, enhance and make reasoned judgements in ways that allow them to perform tasks that are usually considered to demand only human expertise, creativity, and ingenuity.” Significant advancements in hardware and software have accelerated the development of AI and increased the possibility that it will have a beneficial social impact, according to the 2018 UN E-Government Survey. The learning process of computers is being accelerated by increased data utilisation, which is also enhancing the effectiveness of AI systems that largely rely on data. On the one hand, AI has the potential to spur prosperity and assist developing nations in overcoming some enduring challenges. The aforementioned concerns are analysed from the perspective of the public sector in this working paper, taking into account public managers in particular those involved in the development of digital government. The results of the 2018 United Nations E-Government Survey are also taken into consideration in the study. It is anticipated that the working paper will be actively debated at the sessions held to prepare for the 2019 United Nations E-Government Survey.",ieee
